Year,Final_Location,Champion,Score_Champion,Score_RunnerUp,Runner_Up,Semifinal_withC,Semifinal_withR
2011,Jönköping,Fnatic,2,1,against All authority,Epic Gamer,Team SoloMid
2012,Los Angeles,Taipei Assassins,3,1, Azubu Frost,Counter Logic Gaming Europe,Moscow Five
2013,Los Angeles,SK Telecom T1,3,0,Royal Club,Fnatic,NaJin Black Sword
2014,Seoul, Samsung Galaxy White,3,1, Star Horn Royal Club,OMG,Samsung Blue
2015,Berlin,SK Telecom T1,3,1,KOO Tigers,Fnatic,Origen
2016,Los Angeles,SK Telecom T2,3,2, Samsung Galaxy,H2k-Gaming,ROX Tigers
2017,Beijing,Samsung Galaxy,3,0,Fnatic,Royal Never Give Up,Team WE
2018, Incheon,Invictus Gaming,3,0, G2 Esports,G2 Esports,Cloud9
2019,Paris,FunPlus Phoenix,3,0, SK Telecom T1,"
Invictus Gaming",SK Telecom T1
2020,Shanghai,,,,,,
2021,,,,,,,
2022,Tokyo,,,,,,
