Year,Final_Location,Champion,Champion_flag,Score_Champion,Score_RunnerUp,Runner_Up,RunnerUp_flag,Semifinal_withC,Semifinal_withC_flag,Semifinal_withR,Semifinal_withR_flag,Score_Semifinal_withC,Score_SemiC,Score_Semifinal_withR,Score_SemiR,final_Date,semifinal_Date_C,semifinal_Date_R,,,,Q_R1_C,Q_R1_R,Q_R1_date,Q_R1_C_Score,Q_R1_R_Score,,Q_R2_C,Q_R2_R,Q_R2_date,Q_R2_C_Score,Q_R2_R_Score,,Q_R3_C,Q_R3_R,Q_R3_date,Q_R3_C_Score,Q_R3_R_Score,,Q_R4_C,Q_R4_R,Q_R4_date,Q_R4_C_Score,Q_R4_R_Score
2011,Jönköping,Fnatic,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,2,1,against All authority,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,Epik Gamer,https://user-images.githubusercontent.com/49019671/78966275-37609580-7ab4-11ea-9162-4b04864e42bb.png,Team SoloMid,https://user-images.githubusercontent.com/49019671/78966275-37609580-7ab4-11ea-9162-4b04864e42bb.png,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Los Angeles,Taipei Assassins,https://user-images.githubusercontent.com/49019671/78874775-be086a80-7a01-11ea-885e-6f00a5b94944.png,3,1, Azubu Frost,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,Moscow Five,https://user-images.githubusercontent.com/49019671/78966319-62e38000-7ab4-11ea-917d-09bbf52eb80a.png,Counter Logic Gaming Europe,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Los Angeles,SK Telecom T1,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,3,0,Royal Club,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,NaJin Black Sword,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,Fnatic,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Seoul, Samsung  White,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,3,1, Star Horn Royal Club,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,Samsung Blue,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,OMG,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,0,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Berlin,SK Telecom T1,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,3,1,KOO Tigers,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,Origen,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,Fnatic,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Los Angeles,SK Telecom T1,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,3,2, Samsung Galaxy,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,ROX Tigers,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,H2k-Gaming,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,2,3,0,3,29-Oct-2016,21-Oct-16,22-Oct-16,,,,SK Telecom T1,Royal Never Give Up,14-Oct-16,3,1,,ROX Tigers,EDward Gaming,15-Oct-16,3,1,, Samsung Galaxy,Cloud9,13-Oct-16,3,0,,H2k-Gaming,Albus NoX Luna,16-Oct-16,3,0
2017,Beijing,Samsung Galaxy,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,3,0,SK  Telecom 1,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,Team We,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,Royal Never Give Up,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,2,3,1,3,4-Nov-2017,29-Oct-17,28-Oct-17,,,,SK  Telecom 1,Misfits Gaming,20-Oct-17,3,2,,Royal Never Give Up,Fnatic,21-Oct-17,3,1,,Samsung Galaxy,Longzhu Gaming,19-Oct-17,3,0,,Team We,Cloud9,22-Oct-17,3,2
2018, Incheon,Invictus Gaming,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,3,0,Fnatic,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,Cloud9,https://user-images.githubusercontent.com/49019671/78966275-37609580-7ab4-11ea-9162-4b04864e42bb.png,G2 Esports,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,0,3,0,3,3-Nov-2018,27-Oct-18,28-Oct-18,,,,Cloud9,Afreeca Freecs,20-Oct-18,3,0,,Fnatic,EDward Gaming,21-Oct-18,3,1,,G2 Esports,Royal Never Give Up,20-Oct-18,3,2,,Invictus Gaming,KT Rolster,19-Oct-18,3,2
2019,Paris,FunPlus Phoenix,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,3,0,G2 Esports,https://user-images.githubusercontent.com/49019671/78874589-7681de80-7a01-11ea-8bd8-e4551e845f04.png,Invictius Gaming,https://user-images.githubusercontent.com/49019671/78874664-95807080-7a01-11ea-806a-25d804a852f1.png,SK Telecom 1,https://user-images.githubusercontent.com/49019671/78874745-b1841200-7a01-11ea-90e7-0414bf833acf.png,1,3,1,3,10-Nov-2019,2-Nov-19,3-Nov-19,,,,G2 Esports,DAMWON Gaming,27-Oct-19,3,1,,SK Telecom 1,Splyce,27-Oct-19,3,1,,Invictius Gaming,Griffin,26-Oct-19,3,1,,FunPlus Phoenix,Fnatic,26-Oct-19,3,1
2020,Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
